ID,Cena,Powierzchnia,Cena za metr,Pokoje,Ulica,Dzielnica,Obszar administracyjny,Miasto,Województwo,Piętro,Winda,Czynsz,Tytuł,Link
67031750,173 175 zł,32.2m²,5 378 zł/m²,1,,Junikowo, Grunwald, Poznań, wielkopolskie,2 piętro,nie,brak informacji,Syndyk sprzeda mieszkanie-kawalerkę ul. Grunwaldzka 224,https://www.otodom.pl/pl/oferta/syndyk-sprzeda-mieszkanie-kawalerke-ul-grunwaldzka-224-ID4xg1g
67031767,192 375 zł,52.8m²,3 643 zł/m²,3,,Stare Miasto, Stare Miasto, Poznań, wielkopolskie,1 piętro,nie,brak informacji,Syndyk sprzeda mieszkanie w Poznaniu (udział) Osiedle Wichrowe Wzgórze,https://www.otodom.pl/pl/oferta/syndyk-sprzeda-mieszkanie-w-poznaniu-udzial-osiedle-wichrowe-wzgorze-ID4xg1x
66874803,268 900 zł,21.88m²,12 290 zł/m²,1,,Marlewo, Nowe Miasto, Poznań, wielkopolskie,2 piętro,nie,brak informacji,Nowa kawalerka z balkonem! Blisko centrum i lasu!,https://www.otodom.pl/pl/oferta/nowa-kawalerka-z-balkonem-blisko-centrum-i-lasu-ID4vBbR
66647516,345 000 zł,31.1m²,11 093 zł/m²,1,Plac Asnyka, Smochowice, Jeżyce, Poznań, wielkopolskie,parter,nie,320 zł,Przytulna kawalerka w sercu Jeżyc. Plac Asnyka,https://www.otodom.pl/pl/oferta/przytulna-kawalerka-w-sercu-jezyc-plac-asnyka-ID4wE3V
67034036,349 000 zł,40.1m²,8 703 zł/m²,2,ul. Józefa Łukaszewicza, Łazarz, Grunwald, Poznań, wielkopolskie,2 piętro,nie,350 zł,"2-pokojowe, do aranżacji, ul. Łukaszewicza",https://www.otodom.pl/pl/oferta/2-pokojowe-do-aranzacji-ul-lukaszewicza-ID4xgC8
66947039,325 000 zł,26.5m²,12 264 zł/m²,1,ul. Marcelińska, Raszyn, Grunwald, Poznań, wielkopolskie,4 piętro,nie,330 zł,Kawalerka | Marcelińska | Piwnica,https://www.otodom.pl/pl/oferta/kawalerka-marcelinska-piwnica-ID4vTYX
67020766,295 000 zł,34.5m²,8 551 zł/m²,1,,Centrum, Stare Miasto, Poznań, wielkopolskie,4 piętro,nie,brak informacji,"REZERWACJA Kawalerka z antresolą w centrum Jeżyc,",https://www.otodom.pl/pl/oferta/rezerwacja-kawalerka-z-antresola-w-centrum-jezyc-ID4xda6
67031270,312 900 zł,28.3m²,11 057 zł/m²,1,,Naramowice, Stare Miasto, Poznań, wielkopolskie,parter,tak,0,Jedno z najtańszych mieszkań na rynku pierwotnym,https://www.otodom.pl/pl/oferta/jedno-z-najtanszych-mieszkan-na-rynku-pierwotnym-ID4xfTv
66783847,339 900 zł,29m²,11 721 zł/m²,1,ul. Turkusowa, Winiary, Jeżyce, Poznań, wielkopolskie,8 piętro,tak,358 zł,Mieszkanie na sprzedaż Poznań ul Turkusowa Bez pośredników,https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-poznan-ul-turkusowa-bez-posrednikow-ID4vdvP
67030400,300 000 zł,24.91m²,12 043 zł/m²,2,,Winiary, Jeżyce, Poznań, wielkopolskie,4 piętro,nie,360 zł,Poznań Winiary – kompaktowe 2 pokoje,https://www.otodom.pl/pl/oferta/poznan-winiary-kompaktowe-2-pokoje-ID4xfFu
66894181,313 000 zł,20.9m²,14 976 zł/m²,1,ul. Bliźniąt, Chartowo, Nowe Miasto, Poznań, wielkopolskie,1 piętro,nie,280 zł,"Kawalerka, Os. Zodiak, Górny Taras Rataj, Chartowo, Jezioro Malta, Las",https://www.otodom.pl/pl/oferta/kawalerka-os-zodiak-gorny-taras-rataj-chartowo-jezioro-malta-las-ID4vGep
66959907,339 000 zł,26.3m²,12 890 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,1 piętro,tak,300 zł,"Nowa, przytulna kawalerka z balkonem!",https://www.otodom.pl/pl/oferta/nowa-przytulna-kawalerka-z-balkonem-ID4vXkw
67028659,341 000 zł,24.4m²,13 975 zł/m²,1,os. Powstań Narodowych, Rataje, Nowe Miasto, Poznań, wielkopolskie,3 piętro,tak,brak informacji,"Powstań Narodowych, kawalerka przy Parku Rataje",https://www.otodom.pl/pl/oferta/powstan-narodowych-kawalerka-przy-parku-rataje-ID4xfdp
67011149,320 000 zł,32.07m²,9 978 zł/m²,2,ul. Za Groblą, Centrum, Stare Miasto, Poznań, wielkopolskie,5 piętro,nie,400 zł,Mieszkanie z MEGA WIDOKIEM na miasto,https://www.otodom.pl/pl/oferta/mieszkanie-z-mega-widokiem-na-miasto-ID4xaEZ
67028288,309 000 zł,31.56m²,9 791 zł/m²,1,ul. Hetmańska, os. Hetmańskie HCP, Grunwald, Poznań, wielkopolskie,7 piętro,nie,270 zł,Mieszkanie do kapitalnego remontu - Hetmańska / Głogowska,https://www.otodom.pl/pl/oferta/mieszkanie-do-kapitalnego-remontu-hetmanska-glogowska-ID4xf7q
67047841,241 000 zł,43.1m²,5 592 zł/m²,2,ul. Maksymiliana Jackowskiego, Jeżyce, Jeżyce, Poznań, wielkopolskie,,nie,brak informacji,Strych na Jackowskiego,https://www.otodom.pl/hpr/pl/oferta/strych-na-jackowskiego-ID4xkcN
66854996,39 220 zł,59.1m²,664 zł/m²,3,,Naramowice, Stare Miasto, Poznań, wielkopolskie,4 piętro,nie,brak informacji,"1/6 udziału w lokalu, Poznań, Osiedle Łokietka - nowa niższa cena.",https://www.otodom.pl/pl/oferta/1-6-udzialu-w-lokalu-poznan-osiedle-lokietka-nowa-nizsza-cena-ID4vv2o
67047296,340 000 zł,28.41m²,11 968 zł/m²,2,ul. Za Groblą, Centrum, Stare Miasto, Poznań, wielkopolskie,2 piętro,nie,350 zł,2 pokoje| Idealne dla STUDENTA | Zielny widok z okna,https://www.otodom.pl/pl/oferta/2-pokoje-idealne-dla-studenta-zielny-widok-z-okna-ID4xk40
66987900,349 000 zł,45.1m²,7 738 zł/m²,3,ul. Piekary, Centrum, Stare Miasto, Poznań, wielkopolskie,4 piętro,nie,0,3 pokoje | 45 m² z Potencjałem | Stare Miasto,https://www.otodom.pl/pl/oferta/3-pokoje-45-m-z-potencjalem-stare-miasto-ID4x4C0
66904912,334 000 zł,26.4m²,12 652 zł/m²,1,,Ostroróg, Grunwald, Poznań, wielkopolskie,1 piętro,nie,385 zł,"Mieszkanie Poznań 26,40 m2 dobra lokalizacja",https://www.otodom.pl/pl/oferta/mieszkanie-poznan-26-40-m2-dobra-lokalizacja-ID4vJ1u
66983208,319 000 zł,29.6m²,10 777 zł/m²,1,ul. Główna, Główna, Nowe Miasto, Poznań, wielkopolskie,1 piętro,nie,265 zł,kawalerka po remoncie z wyposażeniem,https://www.otodom.pl/pl/oferta/kawalerka-po-remoncie-z-wyposazeniem-ID4x3ok
67026506,323 000 zł,29.6m²,10 912 zł/m²,1,FUNKCJONALNA KAWALERKA Z BALKONEM, Górczyn, Grunwald, Poznań, wielkopolskie,3 piętro,tak,0 zł,Funkcjonalna Kawalerka Z Balkonem,https://www.otodom.pl/pl/oferta/funkcjonalna-kawalerka-z-balkonem-ID4xeEG
67023217,349 000 zł,30m²,11 633 zł/m²,1,ul. Horacego, Strzeszyn, Jeżyce, Poznań, wielkopolskie,2 piętro,nie,150 zł,Kawalerka z potencjałem na 2 pokoje i dużą piwnicą Horacego/Strzeszyn,https://www.otodom.pl/pl/oferta/kawalerka-z-potencjalem-na-2-pokoje-i-duza-piwnica-horacego-strzeszyn-ID4xdND
67022099,298 000 zł,24m²,12 417 zł/m²,1,ul. Klaudyny Potockiej, Łazarz, Grunwald, Poznań, wielkopolskie,4 piętro,nie,330 zł,Kawalerka na Łazarzu do wynajęcia od zaraz!,https://www.otodom.pl/pl/oferta/kawalerka-na-lazarzu-do-wynajecia-od-zaraz-ID4xdwB
66460841,285 000 zł,21m²,13 571 zł/m²,1,ul. Nadolnik, Główna, Nowe Miasto, Poznań, wielkopolskie,parter,nie,120 zł,Kawalerka przy parku,https://www.otodom.pl/pl/oferta/kawalerka-przy-parku-ID4uRw3
67021892,340 000 zł,38.6m²,8 808 zł/m²,2,ul. Mostowa, Centrum, Stare Miasto, Poznań, wielkopolskie,5 piętro,nie,400 zł,TOP!!! Loftowe poddasze do wykończenia | Stare Miasto – CENTRUM,https://www.otodom.pl/pl/oferta/top-loftowe-poddasze-do-wykonczenia-stare-miasto-centrum-ID4xdsg
67019405,265 000 zł,20.04m²,13 224 zł/m²,1,os. Rusa, Chartowo, Nowe Miasto, Poznań, wielkopolskie,10 piętro,nie,0,Dobra Lokalizacja | Idealne na start,https://www.otodom.pl/pl/oferta/dobra-lokalizacja-idealne-na-start-ID4xcO9
66866506,320 000 zł,35.9m²,8 914 zł/m²,2,ul. Strzelecka, Centrum, Stare Miasto, Poznań, wielkopolskie,4 piętro,nie,400 zł,"Centrum | dla fanów skosów, belek i kamienic!",https://www.otodom.pl/pl/oferta/centrum-dla-fanow-skosow-belek-i-kamienic-ID4vz22
66846149,289 000 zł,28.88m²,10 007 zł/m²,1,ul. Helska, Główna, Nowe Miasto, Poznań, wielkopolskie,parter,nie,250 zł,Kawalerka w wyremontowanej kamienicy! ul. Helska,https://www.otodom.pl/pl/oferta/kawalerka-w-wyremontowanej-kamienicy-ul-helska-ID4vtJH
67015228,246 000 zł,26m²,9 462 zł/m²,2,ul. Jana Żupańskiego, Wilda, Wilda, Poznań, wielkopolskie,4 piętro,nie,450 zł,Doskonała Inwestycja na Wildzie! | Rewitalizacja,https://www.otodom.pl/pl/oferta/doskonala-inwestycja-na-wildzie-rewitalizacja-ID4xbIM
66179697,344 000 zł,26.4m²,13 030 zł/m²,1,ul. Swoboda, os. ks. Jerzego Popiełuszki, Grunwald, Poznań, wielkopolskie,1 piętro,nie,417 zł,"Grunwald – kawalerka przy ul. Swoboda, 1. piętro!",https://www.otodom.pl/pl/oferta/grunwald-kawalerka-przy-ul-swoboda-1-pietro-ID4tGmt
67010945,335 000 zł,47m²,7 128 zł/m²,2,,Centrum, Stare Miasto, Poznań, wielkopolskie,4 piętro,nie,brak informacji,"Centrum, Długa, 2 pokoje, 47m",https://www.otodom.pl/pl/oferta/centrum-dluga-2-pokoje-47m-ID4xaBH
67010843,348 000 zł,39.3m²,8 855 zł/m²,2,,Łazarz, Grunwald, Poznań, wielkopolskie,2 piętro,nie,brak informacji,M2 IIp 39m2 front kamienicy Pzń Łazarz,https://www.otodom.pl/pl/oferta/m2-iip-39m2-front-kamienicy-pzn-lazarz-ID4xaA3
67010404,333 000 zł,26.7m²,12 472 zł/m²,1,os. Przyjaźni, Winogrady, Stare Miasto, Poznań, wielkopolskie,1 piętro,nie,450 zł,Sprzedam kawalerkę,https://www.otodom.pl/pl/oferta/sprzedam-kawalerke-ID4xasY
67006309,349 000 zł,35.35m²,9 873 zł/m²,1,os. Dębina, os. Dębina, Wilda, Poznań, wielkopolskie,parter,nie,500 zł,"Sprzedam mieszkanie 1-pokojowe – 35,35 m² . Os. Dębina | Bezpośrednio.",https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-1-pokojowe-35-35-m-os-debina-bezposrednio-ID4x9oW
66961539,249 000 zł,54.5m²,4 569 zł/m²,2,Fabryczna, Żerniki, Kórnik, poznański, wielkopolskie,parter,nie,0 zł,Bezczynszowe mieszkanie z potencjałem w Żernikach,https://www.otodom.pl/pl/oferta/bezczynszowe-mieszkanie-z-potencjalem-w-zernikach-ID4vXKP
67005183,290 000 zł,26.13m²,11 098 zł/m²,2,ul. Kolejowa, Łazarz, Grunwald, Poznań, wielkopolskie,1 piętro,nie,350 zł,Do remontu 26 m2 • Nowe instalacje i okna Okazja,https://www.otodom.pl/pl/oferta/do-remontu-26-m2-nowe-instalacje-i-okna-okazja-ID4x96L
66789022,349 000 zł,30.9m²,11 294 zł/m²,1,ul. Rybaki, Centrum, Stare Miasto, Poznań, wielkopolskie,5 piętro,nie,0 zł,Mieszkanie w kamienicy w samym centrum,https://www.otodom.pl/pl/oferta/mieszkanie-w-kamienicy-w-samym-centrum-ID4veSi
67002565,340 000 zł,32.53m²,10 452 zł/m²,2,ul. Kolejowa, Łazarz, Grunwald, Poznań, wielkopolskie,parter,nie,350 zł,2 pokoje • Do remontu • Nowe instalacje i okna,https://www.otodom.pl/pl/oferta/2-pokoje-do-remontu-nowe-instalacje-i-okna-ID4x8qx
67001144,315 000 zł,32.7m²,9 633 zł/m²,2,,Łazarz, Grunwald, Poznań, wielkopolskie,1 piętro,nie,200 zł,"2-pok, 1p. do własnej aranżacji, Łazarz",https://www.otodom.pl/pl/oferta/2-pok-1p-do-wlasnej-aranzacji-lazarz-ID4x83C
67000091,325 000 zł,27.2m²,11 949 zł/m²,2,ul. Kolejowa, Łazarz, Grunwald, Poznań, wielkopolskie,poddasze,nie,300 zł,"Atrakcyjne mieszkanie na poddaszu, po podłodze ok.42m.kw.",https://www.otodom.pl/pl/oferta/atrakcyjne-mieszkanie-na-poddaszu-po-podlodze-ok-42m-kw-ID4x7MD
66854479,300 000 zł,25m²,12 000 zł/m²,1,ul. Jana Żupańskiego, Wilda, Wilda, Poznań, wielkopolskie,3 piętro,tak,450 zł,Mieszkanie inwestycyjne| Kamienica | Wilda,https://www.otodom.pl/pl/oferta/mieszkanie-inwestycyjne-kamienica-wilda-ID4vwU3
66998873,240 000 zł,35m²,6 857 zł/m²,1,ul. Hutnicza, Wilda, Wilda, Poznań, wielkopolskie,parter,nie,brak informacji,Piękna przytulna kawalerka,https://www.otodom.pl/pl/oferta/piekna-przytulna-kawalerka-ID4x7sZ
66993399,289 000 zł,28.88m²,10 007 zł/m²,1,,Główna, Nowe Miasto, Poznań, wielkopolskie,parter,nie,0 zł,Bezczynszowa kawalerka na parterze blisko Warty,https://www.otodom.pl/pl/oferta/bezczynszowa-kawalerka-na-parterze-blisko-warty-ID4x62H
66993375,319 000 zł,45.07m²,7 078 zł/m²,2,,Główna, Nowe Miasto, Poznań, wielkopolskie,parter,nie,0 zł,"REZERWACJA Doskonała inwestycja – 2 pokoje, garderoba, bez czynszu",https://www.otodom.pl/pl/oferta/rezerwacja-doskonala-inwestycja-2-pokoje-garderoba-bez-czynszu-ID4x62j
66956526,209 000 zł,20m²,10 450 zł/m²,1,ul. Nadolnik, Główna, Nowe Miasto, Poznań, wielkopolskie,parter,tak,1 zł,Nowy lokal Nadolnik Compact Apartments,https://www.otodom.pl/pl/oferta/nowy-lokal-nadolnik-compact-apartments-ID4vVrY
66987900,349 000 zł,45.1m²,7 738 zł/m²,3,ul. Piekary, Centrum, Stare Miasto, Poznań, wielkopolskie,4 piętro,nie,0,3 pokoje | 45 m² z Potencjałem | Stare Miasto,https://www.otodom.pl/pl/oferta/3-pokoje-45-m-z-potencjalem-stare-miasto-ID4x4C0
66744885,355 000 zł,33.5m²,10 597 zł/m²,1,ul. Raszyńska, Raszyn, Grunwald, Poznań, wielkopolskie,2 piętro,nie,brak informacji,Duża kawalerka na Grunwaldzie,https://www.otodom.pl/pl/oferta/duza-kawalerka-na-grunwaldzie-ID4v3op
66984628,280 000 zł,30.16m²,9 284 zł/m²,2,ul. Jana Żupańskiego, Wilda, Wilda, Poznań, wielkopolskie,4 piętro,nie,375 zł,Mieszkanie w kamienicy pod inwestycje!,https://www.otodom.pl/pl/oferta/mieszkanie-w-kamienicy-pod-inwestycje-ID4x3Le
66983105,355 100 zł,26.61m²,13 345 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,6 piętro,nie,0,kw729928,https://www.otodom.pl/pl/oferta/kw729928-ID4x3mF
66904912,334 000 zł,26.4m²,12 652 zł/m²,1,,Ostroróg, Grunwald, Poznań, wielkopolskie,1 piętro,nie,385 zł,"Mieszkanie Poznań 26,40 m2 dobra lokalizacja",https://www.otodom.pl/hpr/pl/oferta/mieszkanie-poznan-26-40-m2-dobra-lokalizacja-ID4vJ1u
66854996,39 220 zł,59.1m²,664 zł/m²,3,,Naramowice, Stare Miasto, Poznań, wielkopolskie,4 piętro,nie,brak informacji,"1/6 udziału w lokalu, Poznań, Osiedle Łokietka - nowa niższa cena.",https://www.otodom.pl/pl/oferta/1-6-udzialu-w-lokalu-poznan-osiedle-lokietka-nowa-nizsza-cena-ID4vv2o
67047296,340 000 zł,28.41m²,11 968 zł/m²,2,ul. Za Groblą, Centrum, Stare Miasto, Poznań, wielkopolskie,2 piętro,nie,350 zł,2 pokoje| Idealne dla STUDENTA | Zielny widok z okna,https://www.otodom.pl/pl/oferta/2-pokoje-idealne-dla-studenta-zielny-widok-z-okna-ID4xk40
66987900,349 000 zł,45.1m²,7 738 zł/m²,3,ul. Piekary, Centrum, Stare Miasto, Poznań, wielkopolskie,4 piętro,nie,0,3 pokoje | 45 m² z Potencjałem | Stare Miasto,https://www.otodom.pl/pl/oferta/3-pokoje-45-m-z-potencjalem-stare-miasto-ID4x4C0
66983102,328 200 zł,25.28m²,12 983 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,4 piętro,nie,0,Nowa kawalerka z balkonem | Naramowicka,https://www.otodom.pl/pl/oferta/nowa-kawalerka-z-balkonem-naramowicka-ID4x3mC
66982504,320 000 zł,26.24m²,12 195 zł/m²,1,ul. Osinowa, Dębiec, Wilda, Poznań, wielkopolskie,4 piętro,nie,620 zł,"Dębiec, ul. Osinowa, kawalerka do wejścia! CEGŁA!1960'",https://www.otodom.pl/pl/oferta/debiec-ul-osinowa-kawalerka-do-wejscia-cegla-1960-ID4x3cY
66827534,299 999 zł,32.11m²,9 343 zł/m²,2,ul. Mostowa, Centrum, Stare Miasto, Poznań, wielkopolskie,5 piętro,nie,350 zł,Topowa lokalizacja | Atrakcyjna cena | Rewitalizowana kamienica,https://www.otodom.pl/pl/oferta/topowa-lokalizacja-atrakcyjna-cena-rewitalizowana-kamienica-ID4voTs
66980201,349 000 zł,40.1m²,8 703 zł/m²,2,ul. Józefa Łukaszewicza, Łazarz, Grunwald, Poznań, wielkopolskie,2 piętro,nie,350 zł,"2-pokojowe, do ARANŻACJI  ul. Łukaszewicza",https://www.otodom.pl/pl/oferta/2-pokojowe-do-aranzacji-ul-lukaszewicza-ID4x2BP
66979729,245 000 zł,26m²,9 423 zł/m²,1,ul. Cedrowa, Dębiec, Wilda, Poznań, wielkopolskie,3 piętro,nie,430 zł,Kawalerka Dębiec 26m2,https://www.otodom.pl/pl/oferta/kawalerka-debiec-26m2-ID4x2ud
66974866,309 000 zł,26.5m²,11 660 zł/m²,1,os. Kosmonautów, Winogrady, Stare Miasto, Poznań, wielkopolskie,7 piętro,tak,416 zł,"Winogrady, kawalerka, jasna kuchnia, piwnica",https://www.otodom.pl/pl/oferta/winogrady-kawalerka-jasna-kuchnia-piwnica-ID4x1dM
66974219,315 000 zł,20m²,15 750 zł/m²,1,,Wilda, Wilda, Poznań, wielkopolskie,2 piętro,nie,brak informacji,"Wynajęta kawalerka inwestycyjna 7,6% ROI, Wilda",https://www.otodom.pl/pl/oferta/wynajeta-kawalerka-inwestycyjna-7-6-roi-wilda-ID4x13l
66973356,299 000 zł,28m²,10 679 zł/m²,1,ul. Długa, Centrum, Stare Miasto, Poznań, wielkopolskie,5 piętro,nie,230 zł,Kawalerka w centrum miasta,https://www.otodom.pl/pl/oferta/kawalerka-w-centrum-miasta-ID4x0Pq
66968597,348 604 zł,25.33m²,13 762 zł/m²,1,,Winogrady, Stare Miasto, Poznań, wielkopolskie,parter,tak,brak informacji,NAJTAŃSZA Kawalerka - świetna inwestycja | Ogródek | Prowizja 0%,https://www.otodom.pl/pl/oferta/najtansza-kawalerka-swietna-inwestycja-ogrodek-prowizja-0-ID4vZAF
66926329,246 000 zł,26m²,9 462 zł/m²,2,ul. Jana Żupańskiego, Wilda, Wilda, Poznań, wielkopolskie,4 piętro,nie,450 zł,Dla Inwestora | Wilda | Kamienica,https://www.otodom.pl/pl/oferta/dla-inwestora-wilda-kamienica-ID4vOAW
66966518,309 000 zł,32.5m²,9 508 zł/m²,2,ul. Jana Żupańskiego, Wilda, Wilda, Poznań, wielkopolskie,4 piętro,tak,450 zł,Mieszkanie z potencjałem inwestycyjnym | Wilda,https://www.otodom.pl/pl/oferta/mieszkanie-z-potencjalem-inwestycyjnym-wilda-ID4vZ38
66959767,320 000 zł,32m²,10 000 zł/m²,1,os. Bolesława Chrobrego, Piątkowo, Stare Miasto, Poznań, wielkopolskie,parter,tak,500 zł,Sprzedam kawalerkę os. Chrobrego,https://www.otodom.pl/pl/oferta/sprzedam-kawalerke-os-chrobrego-ID4vXif
66261100,339 900 zł,53.5m²,6 353 zł/m²,2,ul. Biskupińska, Strzeszyn, Jeżyce, Poznań, wielkopolskie,parter,nie,230 zł,Na sprzedaż mieszkanie na Ul. Biskupińskiej,https://www.otodom.pl/pl/oferta/na-sprzedaz-mieszkanie-na-ul-biskupinskiej-ID4u1xq
